epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3698,0.72172,2.40844,0.99134,1,0.84305,0.95907,0.81289,0.57999,2.09168,0.90395,0.00034,0.00034,0.00034
2,9.96261,0.73125,1.3671,0.96768,1,0.86172,0.98188,0.77505,0.74234,2.15474,0.93998,0.00068614,0.00068614,0.00068614
3,15.6936,0.79172,1.15337,1.0059,0.9355,0.76923,0.94889,0.78149,0.67657,1.89094,0.93189,0.00101802,0.00101802,0.00101802
4,21.2388,0.83792,1.16877,1.05512,0.79938,0.61325,0.74932,0.60886,0.63612,2.03289,0.90269,0.00133565,0.00133565,0.00133565
5,27.2165,0.77968,1.10568,0.99747,0.89898,0.84615,0.9546,0.86752,0.52174,1.56901,0.88829,0.00163902,0.00163902,0.00163902
6,31.6502,0.80001,1.21489,1.00382,0.91382,1,0.95714,0.83916,0.54001,1.41694,0.92582,0.001802,0.001802,0.001802
7,35.7007,0.81403,1.22118,1.0583,0.91405,0.81961,0.93133,0.82104,0.6022,1.5451,0.92292,0.0017624,0.0017624,0.0017624
8,39.8111,0.72335,1.04868,0.98192,0.90548,0.84615,0.89641,0.83635,0.48248,1.36045,0.89825,0.0017228,0.0017228,0.0017228
9,43.9822,0.69426,0.97355,0.97623,0.91585,0.92308,0.91251,0.81349,0.56641,1.16797,0.92972,0.0016832,0.0016832,0.0016832
10,48.0819,0.69357,0.9069,0.94808,0.92185,0.9083,0.94231,0.84757,0.53623,1.17858,0.92294,0.0016436,0.0016436,0.0016436
11,52.1306,0.72216,0.85738,0.98086,0.82704,0.84615,0.9027,0.79521,0.59342,1.14631,0.92581,0.001604,0.001604,0.001604
12,56.3586,0.67994,0.83037,0.95787,0.85655,1,0.9625,0.86992,0.5447,1.10606,0.9042,0.0015644,0.0015644,0.0015644
13,60.5329,0.67205,0.83971,0.9651,0.92386,1,0.99,0.90307,0.4827,0.86249,0.87446,0.0015248,0.0015248,0.0015248
14,64.811,0.62973,0.75934,0.95178,0.92513,1,0.97857,0.86017,0.5432,0.82908,0.90634,0.0014852,0.0014852,0.0014852
15,68.957,0.65115,0.76532,0.97093,0.92484,1,0.96786,0.85164,0.54913,0.80109,0.91359,0.0014456,0.0014456,0.0014456
16,73.0809,0.59682,0.72974,0.93652,0.92623,1,0.94571,0.83256,0.4985,0.76135,0.89799,0.001406,0.001406,0.001406
17,77.1788,0.61681,0.72541,0.9361,0.92737,1,0.94071,0.83286,0.49505,0.70854,0.8947,0.0013664,0.0013664,0.0013664
